大点序号,大点,子类代码,子类,标签
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,站定不动
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,小范围微调
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,全向移动
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,转身
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,蹲
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,跪
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,坐
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,姿态过渡
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,用下肢做任务（lower-body manipulation）
1,下半身标签库（LowerBody Tags）,L1,大动作 mode,极限姿态/重心偏移
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,双脚并列站立
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,前后分立站立
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,宽站 / 窄站 / 非对称站姿
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,小步前后移动
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,小步左右横移
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,直线行走
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,横向行走
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,后退行走
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,斜向行走
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,圆周移动
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,边走边转身
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,急停 / 急启
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,半蹲 / 深蹲
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,单膝跪地（左/右）
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,双膝跪地
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,坐到目标点
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,用脚踩 / 踢 / 顶
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,用膝顶 / 推
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,用 pelvis 顶 / 靠 / sway
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,抬腿跨越
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,蹲下保持
1,下半身标签库（LowerBody Tags）,L2,子动作 / 方式 manner,起身
1,下半身标签库（LowerBody Tags）,L3,方向 direction,前 / 后
1,下半身标签库（LowerBody Tags）,L3,方向 direction,左 / 右
1,下半身标签库（LowerBody Tags）,L3,方向 direction,左前 / 右前 / 左后 / 右后
1,下半身标签库（LowerBody Tags）,L3,方向 direction,朝目标
1,下半身标签库（LowerBody Tags）,L3,方向 direction,远离目标
1,下半身标签库（LowerBody Tags）,L3,方向 direction,绕目标
1,下半身标签库（LowerBody Tags）,L3,方向 direction,原地
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,低速
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,正常速度
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,快速
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,加速
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,减速
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,突然停止
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,持续保持
1,下半身标签库（LowerBody Tags）,L4,速度 / 节奏 tempo,周期性
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,上身静止保持
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,直立上身
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,俯身弯腰
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,侧弯（左 / 右）
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,上身扭转
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,复合姿态（俯身+扭转 / 侧弯+扭转）
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,上肢 reaching
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,上肢操作姿态（抱物 / 推拉 / 端物）
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,双手协同
2,上半身标签库（UpperBody Tags）,U1,大动作 mode,头部/视线动作
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,单手 reaching
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,双手对称 reaching
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,双手非对称 reaching（一高一低 / 一前一后）
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,一手固定一手 reaching
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,上举
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,下探
2,上半身标签库（UpperBody Tags）,U2,子动作 / 方式 manner,跨中线 reaching
